date,period,avg_temp,min_temp,max_temp,temp_diff,rain
2019-01-01,v1,18.06,15.46,22.61,7.15,0.0
2019-01-02,v1,18.24,16.25,21.33,5.08,2.87
2019-01-03,v1,18.62,15.91,22.67,6.76,16.45
2019-01-04,v1,19.52,16.04,25.01,8.97,0.0
2019-01-05,v1,20.32,15.83,26.76,10.93,0.0
2019-01-06,v1,19.99,16.53,23.67,7.14,11.64
2019-01-07,v1,19.94,16.63,25.6,8.97,0.0
2019-01-08,v1,19.81,16.63,23.83,7.2,0.0
2019-01-09,v1,19.53,15.99,24.85,8.86,0.0
2019-01-10,v1,20.16,16.34,31.7,15.36,0.4
2019-01-11,v1,20.8,16.92,28.92,12.0,0.0
2019-01-12,v1,20.4,16.03,28.92,12.89,0.0
2019-01-13,v1,19.83,16.15,24.91,8.76,0.0
2019-01-14,v1,19.33,14.94,27.81,12.87,0.0
2019-01-15,v1,19.99,16.02,32.25,16.23,0.0
2019-01-16,v1,17.68,14.86,20.97,6.11,7.15
2019-01-17,v1,16.85,13.75,23.92,10.17,17.34
2019-01-18,v1,16.29,11.88,23.92,12.04,0.0
2019-01-19,v1,18.01,14.3,21.86,7.56,0.0
2019-01-20,v2,19.7,16.53,23.59,7.06,0.14
2019-01-21,v2,16.61,13.75,20.59,6.84,14.96
2019-01-22,v2,15.35,11.53,21.14,9.61,0.0
2019-01-23,v2,14.93,9.59,21.36,11.77,0.0
2019-01-24,v2,16.71,11.48,22.61,11.13,0.0
2019-01-25,v2,16.99,11.45,23.32,11.87,0.0
2019-01-26,v2,16.61,12.18,21.05,8.87,0.0
2019-01-27,v2,15.65,12.76,21.05,8.29,0.0
2019-01-28,v2,15.89,10.26,22.85,12.59,0.0
2019-01-29,v2,16.7,10.81,23.84,13.03,0.0
2019-01-30,v2,17.87,13.22,24.5,11.28,0.0
2019-01-31,v2,19.54,13.81,28.36,14.55,0.0
2019-02-01,v2,17.61,13.07,24.58,11.51,0.0
2019-02-02,v2,17.88,14.13,23.69,9.56,0.0
2019-02-03,v2,19.18,13.06,28.92,15.86,1.3
2019-02-04,v2,20.82,16.78,25.15,8.37,2.96
2019-02-05,v2,19.32,15.82,24.95,9.13,3.1
2019-02-06,v2,19.82,14.06,25.68,11.62,0.0
2019-02-07,v2,21.23,14.61,30.97,16.36,0.0
2019-02-08,v2,20.75,15.01,26.14,11.13,0.0
2019-02-09,v2,18.9,13.93,24.2,10.27,0.0
2019-02-10,v2,18.75,14.44,24.68,10.24,0.0
2019-02-11,v2,19.34,14.8,25.59,10.79,0.0
2019-02-12,v2,19.36,14.32,26.36,12.04,0.0
2019-02-13,v2,21.12,16.3,26.47,10.17,0.0
2019-02-14,v2,20.95,16.4,26.21,9.81,0.0
2019-02-15,v2,20.82,16.65,26.7,10.05,0.16
2019-02-16,v2,21.37,16.26,25.75,9.49,0.14
2019-02-17,v2,19.24,15.41,24.08,8.67,0.0
2019-02-18,v2,19.42,15.86,25.42,9.56,3.72
2019-02-19,v2,22.0,15.42,28.86,13.44,0.45
2019-02-20,v2,22.62,17.04,28.08,11.04,0.14
2019-02-21,v2,21.77,16.97,26.7,9.73,0.34
2019-02-22,v2,20.42,15.52,25.29,9.77,0.56
2019-02-23,v2,18.07,13.97,22.38,8.41,3.25
2019-02-24,v2,17.06,14.69,23.92,9.23,12.92
2019-02-25,v2,18.69,15.42,23.39,7.97,12.34
2019-02-26,v2,19.38,14.62,28.36,13.74,0.0
2019-02-27,v2,20.26,16.58,26.14,9.56,0.0
2019-02-28,v2,21.14,16.76,25.73,8.97,0.0
2019-03-01,v2,20.33,16.06,25.58,9.52,0.0
2019-03-02,v2,20.68,15.87,32.81,16.94,0.17
2019-03-03,v2,20.94,16.52,31.14,14.62,1.91
2019-03-04,v2,20.42,14.49,27.81,13.32,0.0
2019-03-05,v2,20.42,15.79,25.42,9.63,0.0
2019-03-06,v3,20.22,15.97,28.36,12.39,1.04
2019-03-07,v3,17.79,13.75,22.36,8.61,39.93
2019-03-08,v3,15.2,12.08,20.03,7.95,49.31
2019-03-09,v3,18.07,14.86,26.14,11.28,10.59
2019-03-10,v3,20.63,17.08,25.59,8.51,23.9
2019-03-11,v3,18.88,15.42,23.36,7.94,19.45
2019-03-12,v3,19.45,14.36,25.45,11.09,2.53
2019-03-13,v3,20.6,16.3,25.49,9.19,0.22
2019-03-14,v3,21.28,16.96,26.1,9.14,3.1
2019-03-15,v3,19.08,14.83,22.8,7.97,1.95
2019-03-16,v3,19.69,15.66,27.25,11.59,0.7
2019-03-17,v3,20.57,16.99,24.47,7.48,0.25
2019-03-18,v3,20.82,16.27,29.47,13.2,0.0
2019-03-19,v3,22.1,16.55,28.08,11.53,0.0
2019-03-20,v3,22.81,17.49,29.41,11.92,0.0
2019-03-21,v3,24.42,18.12,30.59,12.47,0.0
2019-03-22,v3,23.3,16.53,28.92,12.39,0.12
2019-03-23,v3,19.88,15.97,25.07,9.1,5.75
2019-03-24,v3,17.15,13.75,21.7,7.95,12.01
2019-03-25,v3,19.37,15.57,28.92,13.35,5.53
2019-03-26,v3,20.86,15.69,27.25,11.56,0.0
2019-03-27,v3,22.34,18.27,27.8,9.53,0.0
2019-03-28,v3,23.37,17.71,29.92,12.21,0.0
2019-03-29,v3,23.96,19.25,28.92,9.67,3.82
2019-03-30,v3,23.02,18.6,26.99,8.39,4.46
2019-03-31,v3,23.22,19.62,27.08,7.46,2.15
2019-04-01,v4,19.84,16.53,25.59,9.06,8.03
2019-04-02,v4,20.28,15.97,25.59,9.62,4.5
2019-04-03,v4,21.09,17.4,25.24,7.84,0.0
2019-04-04,v4,21.92,17.25,26.52,9.27,0.52
2019-04-05,v4,22.05,18.75,30.03,11.28,3.85
2019-04-06,v4,22.2,16.98,27.64,10.66,0.0
2019-04-07,v4,23.07,17.4,28.75,11.35,0.19
2019-04-08,v4,24.37,19.08,29.21,10.13,0.0
2019-04-09,v4,25.0,19.18,30.71,11.53,0.0
2019-04-10,v4,25.86,20.63,30.59,9.96,0.0
2019-04-11,v4,23.97,18.2,28.62,10.42,1.13
2019-04-12,v4,22.17,18.19,25.93,7.74,0.92
2019-04-13,v5,22.4,18.19,26.35,8.16,1.64
2019-04-14,v5,23.37,19.39,28.08,8.69,0.44
2019-04-15,v5,22.62,18.77,26.37,7.6,1.05
2019-04-16,v5,21.28,18.75,27.81,9.06,20.66
2019-04-17,v5,22.64,18.46,28.15,9.69,11.22
2019-04-18,v5,24.27,20.56,29.19,8.63,0.29
2019-04-19,v5,23.79,20.1,27.96,7.86,29.96
2019-04-20,v5,24.36,20.6,30.22,9.62,14.52
2019-04-21,v5,24.91,20.95,28.75,7.8,13.67
2019-04-22,v5,25.49,21.16,30.59,9.43,0.93
